Name,Link,Categories,Pricing,Platforms,Tags,Description
Slack,https://slack.com/,Communication,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,"Unlike email, conversations in Slack are easy to follow. And they’re more than conversations — you can make calls, share files, and even connect with other apps."
Discord,https://discord.com/,Communication,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,"Discord is the easiest way to talk over voice, video, and text. Talk, chat, hang out, and stay close with your friends and communities."
Microsoft Teams,https://products.office.com/en-us/microsoft-teams/,Communication,Subscription,"Windows, Mac, Linux, iOS, Android, Web",,"Microsoft Teams is the hub for team collaboration in Microsoft 365 that integrates the people, content, and tools your team needs to be more engaged and effective."
Rocket Chat,https://rocket.chat,Communication,Free,"Windows, Mac, Linux, iOS, Android, Web",,"Lead with a Communication Hub that allows total control of your data. All in one platform: team collaboration, omnichannel engagement, DevOps and ChatOps."
Skype,https://www.skype.com/en/,Communication,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,"Stay in touch! Free online calls, messaging, affordable international calling to mobiles or landlines and instant online meetings on Skype."
Zoom,https://zoom.us/,Communication,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,"Zoom is the leader in modern enterprise video communications, with an easy, reliable cloud platform for video and audio conferencing, chat, and webinars across mobile, desktop, and room systems. Zoom Rooms is the original software-based conference room solution used around the world in board, conference, huddle, and training rooms, as well as executive offices and classrooms."
Teamspeak,https://www.teamspeak.com/en/,Communication,Free,"Windows, Mac, Linux, iOS, Android",,TeamSpeak is the number one choice VoIP communication system for Online Gaming. Requires a host/server.
Ventrilo,http://www.ventrilo.com/,Communication,Free,"Windows, Mac",,Voice communication over the internet. Ventrilo uses a client-server based connection that is always encrypted.
Mumble,https://www.mumble.com/,Communication,Free,"Windows, Mac, Linux",,"Mumble is an open source voice communication application that features a customizable in game overlay, application skins, conversation recording, and advanced voice activity detection. Requires a host/server"
