Name,Link,Categories,Pricing,Platforms,Tags,Description
Xbox Accessibilty Guidelines,https://docs.microsoft.com/en-us/gaming/accessibility/guidelines,Accessibility,Free,Web,,Game development documentation for creating accessible games.
Game Accessibility Guidelines,http://gameaccessibilityguidelines.com/,Accessibility,Free,Web,,A list of guidelines to make your game more accessible to players
Accessible Player Experiences,https://accessible.games/accessible-player-experiences/,Accessibility,Free,Web,,"The future of Game Accessibility is AbleGamers Accessible Player Experience (APX). 22 design patterns that give you the tools to make accessible games, without the creative limitations that come from standards and guidelines."
IGDA Games Accessibility SIG,https://igda-gasig.org/,Accessibility,Free,Web,,"The IGDA Game Accessibility Special Interest Group IGDA-GASIG volunteers have worked since 2003 to aid the game industry in making games accessible for all, regardless of impairments or other limitations."
CVAA,https://www.fcc.gov/consumers/guides/21st-century-communications-and-video-accessibility-act-cvaa,Accessibility,Free,Web,,The Twenty-First Century Communications and Video Accessibility Act (CVAA) updates federal communications law to increase the access of persons with disabilities to modern communications. The legal requirements in the USA for accessibility of communications. Applies to games with in-game chat or VoIP.
